Date,Min Temperature,Max Temperature
17,3,8
17,.,.
17,9,2
17,3,7
18,5,1
18,.,1
18,2,.
18,6,0
19,1,8
19,.,.
19,3,3
19,1,2
20,2,6
20,.,.
20,1,9
20,3,1
21,3,9
21,.,.
21,7,8
21,7,7
22,5,1
22,.,4
22,8,.
22,5,2
